id,joint_position,ball_loc
94,[ 1.4209876  3.2197419  2.5974586  0.3424894  0.7929208 -0.8627937 -0.3490966],[ 1.191054 -0.067524  0.405781]
95,[ 1.4240968  3.2197514  2.5974548  0.3424112  0.792973  -0.8628405 -0.3490993],[ 1.190798 -0.06722   0.405789]
96,[ 1.4364426  3.2197745  2.5974669  0.3425169  0.7929047 -0.8627813 -0.3490814],[ 1.189534 -0.065681  0.405785]
97,[ 1.4395051  3.2197648  2.5974758  0.342447   0.7930019 -0.8627644 -0.3490733],[ 1.189275 -0.065387  0.405771]
98,[ 1.4516147  3.2197519  2.5974686  0.34247    0.7929407 -0.8628537 -0.3490559],[ 1.188027 -0.063846  0.405728]
99,[ 1.4545343  3.2198036  2.5974445  0.3424437  0.7929555 -0.8627834 -0.3490718],[ 1.187778 -0.063568  0.405734]
100,[ 1.4664295  3.2197598  2.5973852  0.3424295  0.7929282 -0.8628096 -0.349073 ],[ 1.186518 -0.062084  0.405668]
101,[ 1.4694105  3.2197679  2.5974667  0.3424904  0.7929711 -0.8628236 -0.3490891],[ 1.18626  -0.061797  0.405677]
102,[ 1.4813807  3.2197819  2.5974128  0.3424227  0.7929543 -0.8627607 -0.3490688],[ 1.184966 -0.060337  0.405619]
103,[ 1.4843917  3.2197266  2.5973933  0.3424585  0.7929847 -0.8627778 -0.3490756],[ 1.184702 -0.060045  0.405634]
104,[ 1.4963808  3.2197598  2.5974617  0.3423991  0.7929053 -0.8627933 -0.3490436],[ 1.183414 -0.058653  0.405605]
105,[ 1.4994147  3.2197176  2.5974221  0.3424738  0.7929382 -0.862825  -0.3491151],[ 1.183145 -0.058365  0.405583]
106,[ 1.5113376  3.2197993  2.5974712  0.3424943  0.7929222 -0.8627884 -0.3490595],[ 1.181807 -0.056909  0.40549 ]
107,[ 1.514232   3.2197698  2.5974529  0.3424349  0.7929367 -0.8627721 -0.3490678],[ 1.181531 -0.056644  0.405527]
108,[ 1.5266515  3.2197741  2.5973849  0.3423866  0.7929396 -0.8627876 -0.3490696],[ 1.180179 -0.055204  0.405466]
109,[ 1.5298048  3.2197428  2.5974016  0.3424568  0.7929271 -0.8628074 -0.3490999],[ 1.179867 -0.05494   0.405466]
110,[ 1.542393   3.2198005  2.5974071  0.3424326  0.7929562 -0.8627555 -0.3490835],[ 1.178445 -0.053513  0.405411]
111,[ 1.5454817  3.2197483  2.597379   0.3424273  0.7928769 -0.8627818 -0.3490884],[ 1.178162 -0.053222  0.405451]
112,[ 1.5576601  3.2197884  2.5974531  0.3424541  0.7929222 -0.8627524 -0.3490927],[ 1.176706 -0.051853  0.405404]
113,[ 1.5606375  3.2196897  2.5974738  0.3423787  0.7929755 -0.8627798 -0.3490407],[ 1.176417 -0.051552  0.405361]
114,[ 1.5720786  3.2197383  2.5974369  0.3424538  0.7929235 -0.8628182 -0.34907  ],[ 1.175027 -0.050228  0.405304]
115,[ 1.5749394  3.219781   2.5974197  0.3424694  0.7929282 -0.8628385 -0.3490436],[ 1.174738 -0.049993  0.40532 ]
116,[ 1.586307   3.2197824  2.5973966  0.3424212  0.7929028 -0.8627541 -0.3490814],[ 1.173415 -0.048767  0.405317]
117,[ 1.5892641  3.2197872  2.59743    0.3424596  0.7929302 -0.862758  -0.3490461],[ 1.173128 -0.048522  0.405319]
118,[ 1.6013659  3.2197509  2.5974502  0.3424771  0.7929424 -0.8628084 -0.3491078],[ 1.171666 -0.047233  0.405261]
119,[ 1.6043892  3.2197524  2.5974104  0.3424345  0.792928  -0.862765  -0.3490644],[ 1.171357 -0.046992  0.405271]
120,[ 1.6169793  3.2197245  2.597424   0.3424935  0.7928935 -0.8628055 -0.3490285],[ 1.169809 -0.04564   0.405219]
121,[ 1.6201017  3.2197781  2.5974469  0.3424975  0.7928958 -0.8627856 -0.3490975],[ 1.169512 -0.045362  0.405182]
122,[ 1.6322509  3.2197295  2.597409   0.3424397  0.7929491 -0.8628217 -0.3490296],[ 1.16797  -0.044084  0.405146]
123,[ 1.6351572  3.2197433  2.5974014  0.3424499  0.7929439 -0.8628092 -0.3490707],[ 1.167675 -0.043839  0.40515 ]
124,[ 1.6440253  3.2197526  2.5974214  0.3424738  0.7929022 -0.8627528 -0.3490779],[ 1.166469 -0.042879  0.405089]
125,[ 1.6469328  3.2197638  2.5974195  0.3424641  0.7929134 -0.8627527 -0.3490562],[ 1.166164 -0.042638  0.405094]
126,[ 1.66146    3.219734   2.5974355  0.3424285  0.7929437 -0.862844  -0.3491099],[ 1.164369 -0.041241  0.405057]
127,[ 1.6644615  3.2197185  2.59742    0.342414   0.7929482 -0.8627968 -0.3490636],[ 1.164083 -0.041035  0.405098]
128,[ 1.6764285  3.2197645  2.5974262  0.3424567  0.7929134 -0.8627941 -0.3490975],[ 1.162534 -0.03988   0.405093]
129,[ 1.6794282  3.2197672  2.5974009  0.3424498  0.792932  -0.8628082 -0.3490892],[ 1.162235 -0.039632  0.405103]
130,[ 1.6915154  3.2197168  2.5974398  0.3424122  0.792947  -0.8627809 -0.3490574],[ 1.160605 -0.038456  0.405049]
131,[ 1.6946483  3.2197543  2.5974502  0.3423909  0.7929177 -0.8627888 -0.3490787],[ 1.160285 -0.038208  0.404989]
132,[ 1.7066871  3.2197333  2.5974378  0.3424514  0.7929584 -0.862775  -0.3490623],[ 1.158664 -0.037056  0.404925]
133,[ 1.7096753  3.2197576  2.5974464  0.3424305  0.7929733 -0.8628245 -0.3490607],[ 1.158326 -0.036844  0.404935]
134,[ 1.7218748  3.2197464  2.5974014  0.3424977  0.7929303 -0.8628646 -0.349051 ],[ 1.156715 -0.035735  0.404912]
135,[ 1.7249704  3.21974    2.5974116  0.3424664  0.7929262 -0.8628242 -0.3491122],[ 1.156371 -0.035517  0.404922]
136,[ 1.7373463  3.2197743  2.597383   0.3424511  0.7929215 -0.8628573 -0.3490846],[ 1.154682 -0.034379  0.404898]
137,[ 1.7401975  3.2197238  2.5974135  0.342438   0.7929351 -0.8627849 -0.349095 ],[ 1.154319 -0.034173  0.404912]
138,[ 1.7519716  3.2197643  2.5974746  0.3424017  0.7929692 -0.8627778 -0.3490219],[ 1.152687 -0.033115  0.404861]
139,[ 1.7550454  3.2197795  2.5973763  0.3424013  0.7929278 -0.8627585 -0.3490521],[ 1.152356 -0.03291   0.404862]
140,[ 1.7666708  3.2197753  2.597435   0.3424608  0.7929611 -0.8627695 -0.3490859],[ 1.150754 -0.031924  0.404823]
141,[ 1.7695473  3.2197669  2.5974824  0.342426   0.7929076 -0.8627825 -0.3490421],[ 1.150419 -0.031724  0.404821]
142,[ 1.7815629  3.2197543  2.5973968  0.3424289  0.7929364 -0.8627822 -0.3490791],[ 1.148728 -0.030727  0.404782]
143,[ 1.7846326  3.2197736  2.59743    0.3424763  0.7929432 -0.8628043 -0.3491001],[ 1.148381 -0.030504  0.404724]
144,[ 1.7967529  3.2197478  2.597404   0.3424081  0.7929392 -0.8628317 -0.3490873],[ 1.146643 -0.029522  0.404717]
145,[ 1.7997256  3.2197447  2.5974586  0.342457   0.7929491 -0.8627692 -0.3490869],[ 1.146315 -0.029306  0.404737]
146,[ 1.8117645  3.2197588  2.5974665  0.3424338  0.7929621 -0.8628169 -0.3490746],[ 1.144588 -0.028343  0.404668]
147,[ 1.8147619  3.2197719  2.5975387  0.3424515  0.7928812 -0.8628049 -0.3490421],[ 1.144247 -0.028167  0.404683]
148,[ 1.8263713  3.2197514  2.5974572  0.3424013  0.7929455 -0.8628067 -0.349061 ],[ 1.14257  -0.027252  0.404626]
149,[ 1.8293242  3.2196944  2.5974541  0.3424235  0.7929171 -0.8627454 -0.3491322],[ 1.142236 -0.027079  0.40464 ]
150,[ 1.8413038  3.2197033  2.597425   0.3424095  0.7928796 -0.8627814 -0.3490553],[ 1.140507 -0.026166  0.404569]
151,[ 1.8442263  3.2197142  2.597342   0.342438   0.7929034 -0.86277   -0.349036 ],[ 1.140163 -0.025989  0.404585]
152,[ 1.8534963  3.2196797  2.5974069  0.3424536  0.7929941 -0.8628326 -0.3490649],[ 1.138733 -0.025253  0.404561]
153,[ 1.8566798  3.2196987  2.5973995  0.3424704  0.792959  -0.8627871 -0.3490843],[ 1.138339 -0.025079  0.404561]
154,[ 1.8598388  3.2196777  2.5974247  0.3424366  0.79293   -0.8628431 -0.3490861],[ 1.137989 -0.024903  0.404534]
155,[ 1.8724501  3.2196797  2.5974767  0.3424571  0.7929454 -0.8627925 -0.3491031],[ 1.136115 -0.024009  0.404524]
156,[ 1.8754828  3.219651   2.5974481  0.3423948  0.7929731 -0.862758  -0.3490955],[ 1.135754 -0.023842  0.404531]
157,[ 1.8873923  3.2196785  2.5974183  0.3424465  0.7929102 -0.8627783 -0.3490793],[ 1.133988 -0.02301   0.40445 ]
158,[ 1.890346   3.2196489  2.5974107  0.3424617  0.7929501 -0.8627602 -0.3490943],[ 1.133625 -0.022853  0.404466]
159,[ 1.9019608  3.2197004  2.5974467  0.3424179  0.7929414 -0.8627742 -0.3490405],[ 1.131887 -0.022081  0.404415]
160,[ 1.9049206  3.2196644  2.5974355  0.3424737  0.7929509 -0.8627667 -0.3491008],[ 1.131565 -0.021951  0.404425]
161,[ 1.9216899  3.2196684  2.5974703  0.3425076  0.7929015 -0.8628037 -0.3490851],[ 1.129007 -0.02086   0.404366]
162,[ 1.9246588  3.2196522  2.5974419  0.3424365  0.792932  -0.8628115 -0.3490225],[ 1.128654 -0.020713  0.404377]
