id,joint_position,ball_loc
134,[ 1.4031901  2.8160184  2.8392883  3.4656229  1.1910533  0.0396939 -0.1618471],[ 1.195462 -0.401237  0.362539]
135,[ 1.4148376  2.8160997  2.8391989  3.4655249  1.1910611  0.0396888 -0.1618542],[ 1.198444 -0.399446  0.362784]
136,[ 1.4180026  2.8160479  2.8392776  3.4655645  1.1910277  0.039692  -0.1618223],[ 1.199037 -0.398915  0.362197]
137,[ 1.4302212  2.8160568  2.8392986  3.4655907  1.1910606  0.039685  -0.1618573],[ 1.201945 -0.39748   0.362102]
138,[ 1.4332601  2.8160613  2.8392447  3.4655413  1.1910508  0.0397106 -0.161869 ],[ 1.202563 -0.396906  0.362236]
139,[ 1.4453932  2.8160458  2.8393077  3.4655583  1.1909892  0.0397191 -0.1618121],[ 1.205413 -0.395194  0.362222]
140,[ 1.4484486  2.8160708  2.8392857  3.465523   1.1910493  0.0397183 -0.1618354],[ 1.206018 -0.394872  0.362203]
141,[ 1.4602197  2.8160785  2.8392788  3.4655783  1.1910982  0.0397403 -0.1618761],[ 1.208814 -0.393164  0.362191]
142,[ 1.463462   2.816124   2.8392736  3.4656074  1.1909779  0.039638  -0.1618425],[ 1.209347 -0.392803  0.36219 ]
143,[ 1.4749948  2.8161157  2.8392695  3.4655249  1.1909965  0.0397002 -0.161863 ],[ 1.21218  -0.391081  0.362249]
144,[ 1.4779366  2.8161197  2.839198   3.4655821  1.1910229  0.0397142 -0.1618278],[ 1.21271  -0.390715  0.362222]
145,[ 1.4899885  2.8160549  2.8392197  3.4655723  1.191023   0.0396941 -0.1618232],[ 1.21548 -0.38912  0.36319]
146,[ 1.4929261  2.8159938  2.839224   3.4655699  1.1910651  0.0396855 -0.1618483],[ 1.21604  -0.388572  0.362276]
147,[ 1.5049216  2.816032   2.8393062  3.4656093  1.1910137  0.0397294 -0.1618371],[ 1.218788 -0.386907  0.363186]
148,[ 1.5079814  2.816062   2.839243   3.4655602  1.1909978  0.0396815 -0.1618519],[ 1.219315 -0.386325  0.362278]
149,[ 1.5111129  2.8160809  2.8392457  3.4655487  1.1910132  0.0396599 -0.1617735],[ 1.219914 -0.38614   0.363236]
150,[ 1.5205012  2.8160685  2.8392352  3.465579   1.1909861  0.0397238 -0.1618316],[ 1.222214 -0.384372  0.362203]
151,[ 1.5236481  2.8160441  2.8392159  3.4655351  1.1910426  0.0397017 -0.1618783],[ 1.222739 -0.384176  0.363327]
152,[ 1.5362464  2.8160224  2.8392156  3.4655637  1.1910075  0.0397178 -0.161806 ],[ 1.22554  -0.382129  0.363308]
153,[ 1.5393864  2.8160758  2.8392175  3.4656124  1.1910322  0.0397047 -0.1618679],[ 1.226123 -0.381748  0.363282]
154,[ 1.5515051  2.8160482  2.8392821  3.4655816  1.1910599  0.039644  -0.161879 ],[ 1.22885  -0.379685  0.363247]
155,[ 1.5543315  2.816051   2.8392473  3.4655761  1.1910578  0.039694  -0.1618773],[ 1.229396 -0.379319  0.36325 ]
156,[ 1.5658799  2.8160558  2.8392934  3.4655072  1.1910136  0.0397005 -0.1618329],[ 1.231971 -0.377349  0.363213]
157,[ 1.5686856  2.8160696  2.8392667  3.4655158  1.1910373  0.0396128 -0.1618543],[ 1.232437 -0.376932  0.363295]
158,[ 1.5802064  2.8160854  2.8392295  3.4655285  1.1909859  0.0397568 -0.1618072],[ 1.234949 -0.374845  0.362211]
159,[ 1.5831589  2.8160921  2.839254   3.4655289  1.1910052  0.0396965 -0.1618224],[ 1.235449 -0.374576  0.363274]
160,[ 1.5952928  2.8160923  2.8392206  3.4655404  1.1910494  0.0397744 -0.1618258],[ 1.238019 -0.372491  0.363344]
161,[ 1.5983129  2.8160544  2.839269   3.4655041  1.1910202  0.0396813 -0.1618089],[ 1.238571 -0.371919  0.362236]
162,[ 1.6107025  2.8160785  2.8392504  3.4655595  1.1910794  0.039744  -0.1618833],[ 1.241219 -0.369706  0.362247]
163,[ 1.6139024  2.8161278  2.8392368  3.4654798  1.1910621  0.0396955 -0.1618307],[ 1.241754 -0.369266  0.362266]
164,[ 1.6259902  2.8160208  2.8392388  3.4654872  1.1909683  0.0396841 -0.1618396],[ 1.244287 -0.367047  0.362271]
165,[ 1.6290481  2.8160272  2.8392485  3.4655745  1.1909863  0.0397171 -0.1618734],[ 1.244838 -0.366606  0.362188]
166,[ 1.6408176  2.8160887  2.8392936  3.4655454  1.1910657  0.0397625 -0.1618705],[ 1.247265 -0.364413  0.36223 ]
167,[ 1.6437736  2.8160308  2.8392223  3.4655719  1.1909807  0.0396724 -0.1618657],[ 1.247753 -0.36397   0.362202]
168,[ 1.6554416  2.8160649  2.8392466  3.4655187  1.1910477  0.0396614 -0.1618204],[ 1.250139 -0.361887  0.363276]
169,[ 1.6587074  2.8160212  2.8392445  3.4655144  1.1910424  0.0396602 -0.1618697],[ 1.250638 -0.361466  0.363304]
170,[ 1.6702237  2.8161056  2.8392705  3.4654772  1.191103   0.0397049 -0.1618737],[ 1.253    -0.359186  0.363259]
171,[ 1.6732613  2.8160878  2.8392211  3.4655363  1.1910171  0.0397204 -0.1618368],[ 1.253496 -0.358627  0.362238]
172,[ 1.6852709  2.8160708  2.8392624  3.4655759  1.1910024  0.0396956 -0.1618143],[ 1.255914 -0.356305  0.362246]
173,[ 1.6883177  2.8160775  2.8393282  3.4655356  1.1910238  0.0396939 -0.1617967],[ 1.256365 -0.355827  0.362209]
174,[ 1.7004035  2.8160682  2.8391708  3.4655075  1.1909827  0.0396617 -0.1618025],[ 1.2587   -0.353468  0.362218]
