id,joint_position,ball_loc
119,[12.0631123  2.8706584  2.5568352  1.4086752  0.3244985  0.4890872 -0.1583729],[ 1.27529  -0.251675  0.438582]
120,[12.0601888  2.8706288  2.5568728  1.4086857  0.3244849  0.4890758 -0.1582994],[ 1.275028 -0.252184  0.438598]
121,[12.0485174  2.8707185  2.5568199  1.4087334  0.3244694  0.4890985 -0.1583471],[ 1.273755 -0.254652  0.438613]
122,[12.0455366  2.8706121  2.5568142  1.4087982  0.3244646  0.489102  -0.1583317],[ 1.273489 -0.255151  0.438627]
123,[12.0337945  2.870646   2.5567839  1.4087582  0.3244679  0.4891366 -0.1582875],[ 1.272177 -0.257595  0.438673]
124,[12.0308939  2.870656   2.5568428  1.4087048  0.3244914  0.4890559 -0.1583263],[ 1.271925 -0.258082  0.43866 ]
125,[12.019263   2.8706822  2.5567946  1.4087772  0.3245433  0.4890804 -0.158273 ],[ 1.270616 -0.260465  0.4387  ]
126,[12.0162904  2.8706751  2.556814   1.4086905  0.3244638  0.4890806 -0.1583052],[ 1.270352 -0.260937  0.43869 ]
127,[12.0046269  2.8706377  2.5568509  1.4086618  0.3244809  0.4890931 -0.1583272],[ 1.269003 -0.263321  0.43871 ]
128,[12.0017283  2.8706925  2.556864   1.4087563  0.3244828  0.4891004 -0.1583531],[ 1.268721 -0.263803  0.4387  ]
129,[11.9899412  2.8707018  2.5568593  1.4087286  0.3244534  0.4891568 -0.15831  ],[ 1.267265 -0.266212  0.438748]
130,[11.9868643  2.8706925  2.5568759  1.4086828  0.3244574  0.4891178 -0.1582932],[ 1.266975 -0.266686  0.438754]
131,[11.9749037  2.8706796  2.556828   1.4087839  0.3245059  0.4891005 -0.1583717],[ 1.265523 -0.269081  0.438779]
132,[11.971897   2.8706508  2.5568511  1.4086523  0.3244453  0.4891194 -0.1582916],[ 1.265221 -0.269565  0.438793]
133,[11.9600859  2.8706279  2.5567842  1.4087696  0.3244674  0.489134  -0.1583114],[ 1.26373  -0.271898  0.438858]
134,[11.9570579  2.8706567  2.5568252  1.4086628  0.3244835  0.4890729 -0.1582731],[ 1.263397 -0.27238   0.43887 ]
135,[11.9452727  2.8706989  2.5567875  1.4087086  0.3244322  0.4891189 -0.158352 ],[ 1.26191  -0.274664  0.438897]
136,[11.9425173  2.8706694  2.5568266  1.4087467  0.3244855  0.4890791 -0.1583283],[ 1.261608 -0.275113  0.438905]
137,[11.9307803  2.8706951  2.556812   1.4087143  0.3244496  0.4890911 -0.158283 ],[ 1.260071 -0.277376  0.438924]
138,[11.9276801  2.8706827  2.5568163  1.4087105  0.3244861  0.489146  -0.1583061],[ 1.259773 -0.277827  0.438912]
139,[11.9158104  2.8706167  2.5568097  1.4086933  0.3245098  0.4891272 -0.1583353],[ 1.258189 -0.28011   0.43892 ]
140,[11.9128934  2.8706729  2.5568182  1.4086523  0.3244756  0.4890827 -0.1583231],[ 1.257868 -0.280563  0.438941]
141,[11.9010461  2.8706486  2.5568116  1.4086771  0.32442    0.4891015 -0.1582956],[ 1.256221 -0.282827  0.438972]
142,[11.8981133  2.8706853  2.5567808  1.4087753  0.3244872  0.4891083 -0.1582743],[ 1.255901 -0.283266  0.43898 ]
143,[11.8863619  2.8707013  2.5567772  1.4087324  0.3244133  0.4890962 -0.158318 ],[ 1.254278 -0.285469  0.438977]
144,[11.8833519  2.8706748  2.5567799  1.4087324  0.3244756  0.4891471 -0.1583391],[ 1.253954 -0.285903  0.439   ]
145,[11.8712559  2.8706577  2.5568471  1.4086981  0.3243934  0.4890818 -0.1583432],[ 1.252268 -0.288106  0.439013]
146,[11.8682521  2.8706574  2.5568171  1.4087381  0.324445   0.4891236 -0.1582552],[ 1.251917 -0.288544  0.439046]
147,[11.8559207  2.870708   2.5567968  1.4087315  0.3244552  0.48907   -0.1582676],[ 1.250181 -0.290813  0.438998]
148,[11.852752   2.8706677  2.5567079  1.4086437  0.3245112  0.4890864 -0.1582917],[ 1.249829 -0.291269  0.438996]
149,[11.8400365  2.8706522  2.5568223  1.4086905  0.324409   0.4891182 -0.1583489],[ 1.247963 -0.293536  0.439035]
150,[11.8368871  2.8706377  2.5568452  1.408762   0.3244485  0.4891354 -0.1582383],[ 1.247604 -0.293986  0.439034]
151,[11.8242803  2.8706794  2.5567758  1.4086952  0.3244757  0.4891327 -0.1582425],[ 1.245726 -0.296202  0.439047]
152,[11.8210703  2.8706501  2.5568569  1.4087048  0.3245101  0.4890974 -0.1583156],[ 1.245331 -0.29664   0.439064]
153,[11.8088542  2.8706155  2.5568228  1.4086695  0.3244819  0.4890591 -0.1582683],[ 1.24347  -0.298782  0.439102]
154,[11.8058609  2.8706684  2.5568185  1.4086809  0.3244063  0.4891204 -0.1583867],[ 1.243111 -0.299193  0.439104]
155,[11.7937118  2.870688   2.5568335  1.4088383  0.3244335  0.4891203 -0.1583376],[ 1.241251 -0.301269  0.439113]
156,[11.7906849  2.870693   2.5567901  1.4087143  0.3244273  0.4890557 -0.1583322],[ 1.240858 -0.301677  0.439145]
157,[11.7788227  2.8706331  2.556762   1.4087591  0.3244883  0.4891083 -0.1582668],[ 1.238952 -0.303712  0.43917 ]
158,[11.7755113  2.870681   2.5568225  1.4086924  0.3244958  0.4891031 -0.1583065],[ 1.238607 -0.304115  0.43916 ]
159,[11.7639443  2.8707113  2.5568244  1.4086733  0.3244755  0.4891279 -0.1583346],[ 1.23673  -0.306064  0.439192]
160,[11.7609881  2.870646   2.5567575  1.4087486  0.3244833  0.4891582 -0.1583222],[ 1.236325 -0.306467  0.439211]
161,[11.7488485  2.870693   2.5568416  1.4086933  0.3244611  0.489082  -0.1582391],[ 1.234373 -0.308443  0.439244]
162,[11.7457464  2.8706784  2.5568678  1.40872    0.3244655  0.4891284 -0.1582613],[ 1.23399  -0.308868  0.439205]
163,[11.7333795  2.8706729  2.5568743  1.4087124  0.3244279  0.4891058 -0.1583597],[ 1.231997 -0.310817  0.439247]
164,[11.7304418  2.8706656  2.5567768  1.4086981  0.3244752  0.4891226 -0.1582947],[ 1.231592 -0.311191  0.439274]
165,[11.7185139  2.8706729  2.5568225  1.4087296  0.3245194  0.489124  -0.1583035],[ 1.229602 -0.313089  0.4393  ]
166,[11.7154735  2.8706825  2.5567355  1.4086552  0.3244576  0.4890916 -0.1583247],[ 1.229221 -0.313485  0.43927 ]
167,[11.7037805  2.8707068  2.5567787  1.4086733  0.3244932  0.489064  -0.1582841],[ 1.227288 -0.315309  0.439284]
168,[11.7010431  2.8706875  2.5567966  1.4087667  0.3244985  0.4891093 -0.158338 ],[ 1.226894 -0.315661  0.439307]
169,[11.6893902  2.8707104  2.5567365  1.408762   0.3244812  0.4891139 -0.1582893],[ 1.224921 -0.317416  0.439336]
170,[11.6864613  2.8706481  2.5568628  1.4087868  0.3244853  0.4890583 -0.1583371],[ 1.224529 -0.317748  0.43935 ]
171,[11.6746219  2.8706181  2.5568299  1.4087572  0.3244248  0.4891002 -0.1582785],[ 1.222505 -0.319527  0.439371]
172,[11.6715503  2.8706734  2.5568328  1.4087982  0.3244495  0.4890666 -0.1583202],[ 1.222088 -0.319889  0.439377]
173,[11.6595877  2.8707263  2.5568156  1.4087515  0.3244778  0.4891003 -0.1582773],[ 1.219985 -0.321683  0.439401]
174,[11.6566594  2.8707392  2.5568354  1.4087     0.3244747  0.4891336 -0.1583715],[ 1.219573 -0.322081  0.439358]
175,[11.6535924  2.8706584  2.556819   1.4087315  0.3244916  0.4890611 -0.1582453],[ 1.219573 -0.322081  0.439358]
176,[11.6446619  2.8706625  2.5568123  1.4087305  0.3244798  0.4891323 -0.1583338],[ 1.217454 -0.323779  0.439425]
177,[11.6416277  2.8706808  2.556772   1.4086866  0.3244899  0.4890888 -0.1583145],[ 1.217039 -0.324118  0.43944 ]
178,[11.6386927  2.8706918  2.5568671  1.4087048  0.3245133  0.4891194 -0.1582835],[ 1.216617 -0.324458  0.439456]
179,[11.6296936  2.8707206  2.5567648  1.408658   0.324463   0.4891135 -0.1583382],[ 1.214849 -0.325787  0.439512]
180,[11.6268476  2.8706222  2.5568187  1.4087629  0.3245057  0.4890076 -0.1583094],[ 1.214477 -0.326192  0.439438]
181,[11.6147312  2.8706651  2.5568125  1.4086809  0.3245275  0.4891017 -0.1583019],[ 1.212331 -0.327881  0.43944 ]
182,[11.6116907  2.8706789  2.5567694  1.4087877  0.324475   0.4890834 -0.1583073],[ 1.211899 -0.328229  0.439433]
183,[11.599516   2.8707435  2.5568058  1.4087124  0.3244284  0.4891406 -0.1583279],[ 1.209686 -0.329898  0.439457]
184,[11.5965657  2.8706763  2.5568087  1.4087505  0.3243924  0.4890925 -0.158319 ],[ 1.209244 -0.330214  0.439482]
185,[11.5843605  2.870698   2.5568748  1.4087572  0.3244415  0.4891417 -0.1583218],[ 1.207008 -0.33187   0.439493]
186,[11.5812384  2.8706744  2.5568659  1.4086437  0.3244479  0.4890631 -0.1583343],[ 1.206562 -0.33218   0.439472]
187,[11.5691669  2.8706658  2.5567856  1.4086666  0.3245004  0.4890687 -0.1583036],[ 1.204261 -0.333784  0.439521]
188,[11.5661335  2.8706856  2.5567801  1.4087791  0.3244281  0.489132  -0.1583319],[ 1.203806 -0.334106  0.439525]
189,[11.5538818  2.8706305  2.556812   1.4087267  0.3244732  0.4891052 -0.1583246],[ 1.20153  -0.33569   0.439523]
190,[11.550786   2.8706486  2.5568554  1.4087667  0.3244584  0.4890773 -0.1582587],[ 1.201057 -0.336013  0.439535]
191,[11.5383589  2.8706491  2.556813   1.4087362  0.324495   0.4891085 -0.15829  ],[ 1.198702 -0.337596  0.439555]
192,[11.5352929  2.8706648  2.5567946  1.4087343  0.3244497  0.4891608 -0.1583115],[ 1.198213 -0.337905  0.439575]
193,[11.523146   2.8706267  2.5568235  1.4087601  0.3245215  0.4891432 -0.1582843],[ 1.195866 -0.339393  0.439606]
194,[11.52024    2.870712   2.5568032  1.4087257  0.3244215  0.4891256 -0.1583353],[ 1.195379 -0.339691  0.439614]
195,[11.5083543  2.8706794  2.5567913  1.4087191  0.3243934  0.4891326 -0.1583078],[ 1.193096 -0.341157  0.439606]
