id,joint_position,ball_loc
143,[-0.741113   1.6029506  1.886094   0.2396851  2.7389371  0.0333551 -0.1582496],[ 1.068142 -0.529058  0.144054]
144,[-2.611564   2.1210992  2.2567821  0.0675659  1.6585245  0.0444635 -0.1581721],[ 0.72179  -0.091566  0.129578]
145,[-2.6115232  2.1211057  2.2567554  0.0675545  1.6585447  0.0444295 -0.1582093],[ 0.72179  -0.091565  0.129573]
146,[-2.6116052  2.1211083  2.2568436  0.0674944  1.6585501  0.0444168 -0.1582475],[ 0.721791 -0.091571  0.129568]
147,[-2.6115099  2.1211584  2.2567968  0.0675421  1.6585479  0.044417  -0.158209 ],[ 0.721788 -0.091563  0.129563]
148,[-2.6116598  2.1210909  2.2568133  0.0675926  1.65861    0.0444874 -0.1582295],[ 0.721785 -0.091554  0.12956 ]
149,[-2.6115916  2.1211176  2.2568007  0.067543   1.6585604  0.0444472 -0.1581943],[ 0.721787 -0.091557  0.129565]
150,[-2.6115904  2.1211178  2.2568078  0.0674562  1.6585531  0.0444621 -0.1582012],[ 0.721792 -0.091563  0.129557]
151,[-2.6115738  2.1210899  2.2568183  0.067461   1.6585714  0.0444392 -0.1582467],[ 0.721794 -0.091568  0.129564]
152,[-2.6116026  2.1211073  2.2567971  0.0675087  1.658566   0.0444307 -0.1581704],[ 0.721795 -0.091574  0.129563]
153,[-2.6115592  2.1211219  2.2568474  0.0674744  1.6586348  0.0444371 -0.1582312],[ 0.721795 -0.091574  0.129564]
154,[-2.6115699  2.1210465  2.2568121  0.0676003  1.6585974  0.0444581 -0.1582317],[ 0.721791 -0.091567  0.129561]
155,[-2.6115654  2.1210694  2.2567751  0.067565   1.6585535  0.0444716 -0.1582214],[ 0.721791 -0.091563  0.129555]
156,[-2.6115406  2.1211154  2.2568176  0.0675726  1.6585746  0.0444877 -0.1581863],[ 0.721792 -0.091558  0.129554]
157,[-2.611584   2.1210694  2.2567906  0.0675068  1.6585796  0.0444405 -0.1582516],[ 0.721791 -0.091555  0.129553]
158,[-2.6115602  2.1210501  2.2567515  0.0675364  1.6585978  0.0444837 -0.1582517],[ 0.721793 -0.091566  0.12955 ]
159,[-2.6115957  2.1210732  2.2567947  0.0675488  1.6585203  0.0445101 -0.1582534],[ 0.721791 -0.091567  0.129548]
160,[-2.611589   2.1210785  2.2568085  0.0674353  1.658556   0.0444294 -0.1582472],[ 0.721793 -0.091572  0.129545]
161,[-2.6115688  2.1210604  2.2568409  0.0675259  1.6585128  0.0444916 -0.1581822],[ 0.721794 -0.091569  0.129547]
162,[-2.6115733  2.1210537  2.2568228  0.0676365  1.6585884  0.0444944 -0.1582337],[ 0.721792 -0.091559  0.129549]
163,[-2.6115885  2.1210406  2.2567887  0.0675611  1.6586089  0.0444615 -0.1582724],[ 0.72179  -0.091557  0.129544]
164,[-2.6115816  2.1210916  2.2568188  0.0675402  1.6585635  0.0444752 -0.158204 ],[ 0.72179  -0.091555  0.129538]
165,[-2.6116477  2.1210012  2.2568181  0.0675602  1.6585922  0.0444059 -0.1582362],[ 0.721794 -0.091563  0.129543]
166,[-2.6115819  2.1210375  2.2567985  0.0674772  1.658555   0.0444176 -0.1581953],[ 0.721796 -0.091567  0.129541]
167,[-2.6115416  2.1211014  2.2567964  0.0676241  1.6585987  0.0444399 -0.1581777],[ 0.721797 -0.091571  0.129544]
168,[-2.6115609  2.121037   2.2567787  0.0675831  1.658496   0.0444673 -0.1582628],[ 0.721797 -0.091571  0.129546]
169,[-2.6115528  2.1210074  2.2568142  0.0675106  1.6585457  0.0444446 -0.1581978],[ 0.721791 -0.091564  0.129535]
170,[-2.6115745  2.1210253  2.2568111  0.0675392  1.6585666  0.0444448 -0.1581681],[ 0.721792 -0.091562  0.129538]
171,[-1.7704003  1.4993743  1.8485144  0.2476721  1.6515698  0.0448518 -0.1582252],[ 0.761374 -0.544407  0.104441]
172,[-1.7703317  1.4994031  1.8485444  0.247509   1.6515723  0.0448821 -0.1582197],[ 0.761375 -0.544404  0.10444 ]
173,[-1.7703427  1.4994142  1.8484883  0.2475748  1.6515974  0.0448326 -0.1581857],[ 0.761376 -0.544402  0.104437]
174,[-1.7703331  1.4994005  1.8485684  0.2476139  1.6516562  0.0448792 -0.1581988],[ 0.761382 -0.544407  0.104444]
175,[-1.7703298  1.499421   1.8485367  0.2476692  1.6515801  0.044877  -0.158228 ],[ 0.761377 -0.544393  0.104446]
176,[-1.770356   1.4993715  1.848505   0.2476587  1.651594   0.0448936 -0.1581901],[ 0.76138  -0.544405  0.104443]
177,[-1.7703446  1.4994036  1.8485538  0.24755    1.6516476  0.0448873 -0.158185 ],[ 0.761376 -0.544406  0.104436]
178,[-1.7703021  1.4993917  1.8485575  0.2476416  1.6516213  0.0448825 -0.1582067],[ 0.761378 -0.544406  0.104442]
179,[-1.7704089  1.4993988  1.8485659  0.2477045  1.6515878  0.0448697 -0.158222 ],[ 0.761382 -0.544407  0.104439]
180,[-1.7703136  1.4994115  1.8485961  0.2476196  1.6515715  0.0449162 -0.1582114],[ 0.761383 -0.544399  0.104441]
181,[-1.7703794  1.4993722  1.848518   0.247592   1.6516232  0.0448599 -0.1582735],[ 0.76138  -0.544404  0.104443]
182,[-1.7703727  1.4994277  1.8485278  0.2475691  1.6515492  0.0448775 -0.1582053],[ 0.76138  -0.544404  0.104443]
183,[-1.770388   1.4993602  1.848454   0.2476168  1.6516396  0.044936  -0.1582263],[ 0.761367 -0.544393  0.104444]
184,[-1.770335   1.4994469  1.8485179  0.2476072  1.6516361  0.0448707 -0.1581953],[ 0.761369 -0.544399  0.104434]
185,[-1.7703665  1.4994218  1.8485584  0.2476025  1.6515908  0.0449137 -0.1582274],[ 0.761379 -0.544402  0.104439]
186,[-1.7703827  1.4994329  1.8485935  0.2476435  1.6515518  0.0448829 -0.1582236],[ 0.761377 -0.544394  0.104445]
187,[-1.7703517  1.4994035  1.8485498  0.247571   1.6516379  0.0448382 -0.1582105],[ 0.761378 -0.544402  0.104432]
188,[-1.770346   1.4993817  1.8485329  0.2475557  1.6516591  0.0448892 -0.1581799],[ 0.761373 -0.5444    0.104428]
189,[-1.7703732  1.4994266  1.8485237  0.24755    1.6516244  0.0449293 -0.1582362],[ 0.761377 -0.544397  0.104427]
190,[-1.7703808  1.4993382  1.8484966  0.2476292  1.6516228  0.0448907 -0.1582292],[ 0.761378 -0.544398  0.104423]
191,[-2.1069515  1.3068718  1.7208172  0.453927   1.5499316  0.0444974 -0.1581872],[ 0.614969 -0.507659  0.091207]
192,[-2.1068848  1.3068664  1.720871   0.4539385  1.5499419  0.0445383 -0.1582146],[ 0.614971 -0.507645  0.091189]
193,[-2.1069515  1.3068436  1.7209007  0.4538956  1.5498942  0.044523  -0.1582365],[ 0.614992 -0.507619  0.09111 ]
194,[-2.106932   1.306811   1.7209208  0.4539423  1.5499245  0.0445827 -0.1581565],[ 0.614997 -0.507612  0.091088]
195,[-2.1069372  1.3068516  1.7209102  0.4537954  1.5498953  0.0444966 -0.1582065],[ 0.614983 -0.507615  0.091084]
196,[-2.1069143  1.3068202  1.7209013  0.4538956  1.5499038  0.0445322 -0.1582313],[ 0.614982 -0.507618  0.091091]
197,[-2.1069487  1.3069046  1.7208784  0.45399    1.5498691  0.044518  -0.1582524],[ 0.614968 -0.507647  0.091175]
198,[-2.1069487  1.3068726  1.7208345  0.4539471  1.5498801  0.0444898 -0.1581893],[ 0.614969 -0.507642  0.09117 ]
