id,joint_position,ball_loc
184,[-2.3034811  1.9227486  2.007367   0.8322949  2.0452673  0.8509616 -0.1601888],[ 0.613519 -0.387099  0.285612]
185,[-2.3034854  1.9228125  2.007433   0.8323121  2.0452959  0.8509185 -0.1601776],[ 0.613526 -0.387107  0.285617]
186,[-2.3034525  1.922715   2.0073651  0.8323629  2.045341   0.8509357 -0.1602089],[ 0.613524 -0.387105  0.285621]
187,[-2.3035312  1.9216456  2.007255   0.8330551  2.0450513  1.3972013 -0.1601614],[ 0.651434 -0.447537  0.317901]
188,[-2.3034566  1.9216032  2.0072883  0.8330678  2.0450303  1.3971541 -0.160233 ],[ 0.651434 -0.447538  0.317903]
189,[-2.303464   1.9216227  2.0072385  0.8330549  2.0450611  1.3971559 -0.1601963],[ 0.651432 -0.447537  0.317905]
190,[-2.3034508  1.921663   2.0071829  0.8329882  2.0450601  1.3971363 -0.1601624],[ 0.651434 -0.447534  0.317896]
191,[-2.3034733  1.9216453  2.0072046  0.8330983  2.0450418  1.3972323 -0.1601772],[ 0.651438 -0.447533  0.317902]
192,[-2.3034737  1.9216268  2.007238   0.8330962  2.0450318  1.3971349 -0.1601226],[ 0.651451 -0.447528  0.317914]
193,[-2.3034466  1.9216272  2.0072595  0.833039   2.0450616  1.3971827 -0.160204 ],[ 0.651429 -0.447527  0.317903]
194,[-2.3034585  1.9215781  2.0072023  0.8331025  2.0450392  1.3971869 -0.1601939],[ 0.651426 -0.447526  0.317905]
195,[-2.3034358  1.9215348  2.0072747  0.8331003  2.0450311  1.3971888 -0.1602481],[ 0.651424 -0.44753   0.317899]
196,[-2.3034165  1.9216884  2.0072366  0.8329977  2.0450449  1.3971743 -0.1602121],[ 0.651426 -0.447537  0.317898]
197,[-2.3034621  1.9216489  2.0072611  0.8330499  2.0449829  1.3972047 -0.1601801],[ 0.651426 -0.447536  0.317904]
198,[-2.3034888  1.9215875  2.007186   0.8330097  2.0450396  1.3971936 -0.1601684],[ 0.651428 -0.447531  0.317893]
199,[-2.303437   1.9216072  2.0072771  0.8330996  2.0450172  1.397164  -0.160214 ],[ 0.651429 -0.447527  0.317897]
200,[-2.3034678  1.9216198  2.007264   0.8330385  2.045012   1.3972052 -0.1602389],[ 0.651434 -0.447539  0.317901]
201,[-2.3034835  1.9215883  2.0073026  0.8330453  2.045037   1.3971928 -0.160154 ],[ 0.651432 -0.447536  0.317903]
202,[-2.3034885  1.921606   2.0072404  0.8330468  2.0450396  1.3972141 -0.1602299],[ 0.651426 -0.447525  0.317901]
203,[-2.3034814  1.9215951  2.0072287  0.8330946  2.0450861  1.397155  -0.1601444],[ 0.651424 -0.447522  0.317899]
204,[-2.3034551  1.9216314  2.0072538  0.833104   2.0450649  1.3972003 -0.1601967],[ 0.651422 -0.447532  0.317903]
205,[-2.303509   1.9216263  2.0072561  0.8330435  2.0450115  1.3971929 -0.1601672],[ 0.651424 -0.447536  0.317906]
206,[-2.3034869  1.92164    2.007255   0.8330111  2.0450356  1.3971751 -0.1601693],[ 0.65142  -0.447532  0.317897]
207,[-2.3034745  1.9216291  2.0072387  0.8331127  2.0450454  1.3971774 -0.1601807],[ 0.65142  -0.44753   0.317897]
