id,joint_position,ball_loc
178,[-1.9744262  1.9105033  2.1162677  0.1500427  1.3793124  0.2204728 -0.4656019],[ 0.764044 -0.418029  0.131493]
179,[-1.9732907  1.9205151  2.1201735  0.1431723  1.3820065  0.2208104 -0.4656059],[ 0.765265 -0.415368  0.132305]
180,[-1.9729677  1.922971   2.1210573  0.1415445  1.3827577  0.2208703 -0.4656126],[ 0.765495 -0.414861  0.132438]
181,[-1.9721695  1.9302081  2.1234574  0.1354325  1.3841038  0.2216221 -0.4655822],[ 0.766567 -0.412833  0.132903]
182,[-1.9720751  1.9371616  2.1255953  0.130106   1.3848019  0.2260648 -0.4656084],[ 0.767608 -0.410991  0.13352 ]
183,[-1.9721764  1.9391913  2.1262245  0.1286105  1.3852477  0.228002  -0.465629 ],[ 0.767933 -0.410549  0.133639]
184,[-1.9724362  1.9470083  2.1280928  0.1208425  1.3858687  0.2312657 -0.465583 ],[ 0.769208 -0.408167  0.134009]
185,[-1.9726094  1.9489235  2.1284428  0.1189601  1.385826   0.2315713 -0.4656154],[ 0.769365 -0.407683  0.134085]
186,[-1.9743952  1.9580433  2.1303954  0.1105531  1.3850924  0.2330548 -0.4656008],[ 0.770228 -0.404961  0.135131]
187,[-1.9750526  1.959735   2.1308029  0.1092697  1.3847696  0.2333774 -0.465648 ],[ 0.770425 -0.40451   0.135324]
188,[-1.9788905  1.9664792  2.1318915  0.1025453  1.3834773  0.2377137 -0.4656073],[ 0.770876 -0.401904  0.135909]
189,[-1.9846183  1.9728298  2.1329145  0.0953174  1.3806099  0.2416148 -0.4656166],[ 0.771221 -0.398666  0.136104]
190,[-1.9861271  1.9742352  2.1329222  0.0929338  1.3795799  0.2417425 -0.4656004],[ 0.771223 -0.397985  0.136155]
191,[-1.9941519  1.9820724  2.1339047  0.0818398  1.3758866  0.2438802 -0.4655783],[ 0.771217 -0.393354  0.136586]
192,[-2.000519   1.9914027  2.1365492  0.0717098  1.375772   0.2443923 -0.4655565],[ 0.77116  -0.388499  0.137007]
193,[-2.0043733  1.9996309  2.1400514  0.0669047  1.3758051  0.2451169 -0.4656354],[ 0.771428 -0.385105  0.137222]
194,[-2.0051856  2.0016234  2.1410172  0.0654373  1.3758358  0.24595   -0.465574 ],[ 0.771443 -0.38439   0.137425]
195,[-2.0059893  2.003741   2.1418121  0.0639153  1.3759066  0.2474562 -0.4656041],[ 0.771691 -0.383797  0.137327]
