id,joint_position,m6
202,[-2.2626493  2.0674022  2.1682994 -0.0105919  1.5455337  0.1695076 -0.389464 ],[-0.334288  0.406869  0.152195]
203,[-2.2588546  2.066006   2.1678834 -0.0104594  1.550818   0.1684582 -0.3894207],[-0.334398  0.406489  0.152209]
204,[-2.2552578  2.0647338  2.1672451 -0.0104732  1.5558262  0.1675574 -0.3894988],[-0.334496  0.406072  0.152266]
205,[-2.2409999  2.0603164  2.1648064 -0.0108353  1.5718522  0.1650236 -0.3893317],[-0.334634  0.403559  0.152523]
206,[-2.2220318  2.0569537  2.1615448 -0.0113484  1.5957675  0.164474  -0.3893485],[-0.334439  0.400309  0.153283]
207,[-2.2050161  2.055939   2.1595979 -0.0113324  1.6165338  0.1645032 -0.3892747],[-0.334084  0.397352  0.154284]
208,[-2.200335   2.0557674  2.1593764 -0.011287   1.6217384  0.1645678 -0.3893236],[-0.333952  0.39669   0.154417]
209,[-2.1854341  2.0557655  2.1589227 -0.01123    1.6402378  0.1648671 -0.3893069],[-0.333185  0.394196  0.155051]
210,[-2.1748831  2.0558608  2.1589737 -0.0112876  1.6532884  0.1652906 -0.389272 ],[-0.332652  0.392967  0.155264]
211,[-2.1578326  2.0560229  2.1594229 -0.0116964  1.6750102  0.1664454 -0.3890982],[-0.331339  0.390594  0.155382]
212,[-2.1515021  2.0561355  2.1598132 -0.0117732  1.6829834  0.166948  -0.3891183],[-0.33097   0.390003  0.155365]
