id,joint_position,m6
127,[-2.152416   1.7208884  2.694531   2.3361287  0.9266772 -0.9572173 -0.597603 ],[-0.270122 -0.060389  0.323152]
128,[-2.1758761  1.7208827  2.6945713  2.3360906  0.9266248 -0.9571552 -0.5976815],[-0.27286  -0.054233  0.323118]
129,[-2.1817615  1.7207893  2.6945148  2.3360491  0.9266334 -0.9571913 -0.5976679],[-0.273409 -0.052986  0.323091]
130,[-2.204972   1.7207664  2.6945324  2.3361528  0.9266901 -0.9571356 -0.5976918],[-0.275919 -0.046901  0.323059]
131,[-2.2108438  1.7208446  2.6944919  2.336096   0.9267569 -0.9571522 -0.5977284],[-0.276305 -0.04569   0.323085]
132,[-2.2281332  1.7207816  2.6945391  2.3360062  0.9267955 -0.9571646 -0.5976683],[-0.278069 -0.040891  0.322993]
133,[-2.2336323  1.7208827  2.6945424  2.3360717  0.9268923 -0.957137  -0.5977171],[-0.278543 -0.039674  0.323045]
134,[-2.2609248  1.7208827  2.6945257  2.3360348  0.926847  -0.9571268 -0.5976892],[-0.281033 -0.032472  0.322966]
135,[-2.2818625  1.7207988  2.6945648  2.3360448  0.9269152 -0.9571728 -0.5976456],[-0.282858 -0.026678  0.322849]
136,[-2.2870359  1.7208026  2.694618   2.3360124  0.9268999 -0.9572217 -0.5977885],[-0.283227 -0.025543  0.322828]
137,[-2.2921729  1.7208484  2.6946428  2.3359723  0.9270225 -0.9571554 -0.597635 ],[-0.283585 -0.024401  0.3228  ]
138,[-2.3119497  1.7207854  2.6946313  2.336045   0.9270248 -0.9572122 -0.5977241],[-0.285231 -0.018902  0.322737]
139,[-2.3312752  1.7208369  2.6946666  2.3360999  0.92695   -0.9571667 -0.5976991],[-0.286618 -0.013628  0.322682]
140,[-2.3358541  1.7207969  2.694654   2.3361199  0.9270015 -0.957153  -0.597623 ],[-0.286863 -0.012585  0.322663]
141,[-2.3404837  1.7208255  2.6946857  2.335875   0.9270148 -0.9571094 -0.597645 ],[-0.287189 -0.011525  0.322659]
142,[-2.3583863  1.7208083  2.6946342  2.3359859  0.927021  -0.9571235 -0.5978023],[-0.288418 -0.00644   0.322652]
143,[-2.3627734  1.7208827  2.6946235  2.3360524  0.9270296 -0.9571231 -0.5977418],[-0.28864  -0.005415  0.322649]
144,[-2.3760808  1.7208522  2.694643   2.3360078  0.9270954 -0.957112  -0.5977462],[-0.289453 -0.00141   0.32264 ]
145,[-2.3804498  1.7208312  2.6946931  2.336077   0.9270205 -0.9571765 -0.5976489],[-0.289655 -0.000441  0.322624]
146,[-2.4012651  1.7207568  2.6947148  2.3360929  0.9270625 -0.9571676 -0.5976702],[-0.290753  0.00523   0.322577]
147,[-2.4205968  1.720753   2.6947129  2.3360453  0.9271679 -0.9571698 -0.597729 ],[-0.291634  0.010557  0.322513]
148,[-2.438823   1.7207988  2.6947463  2.3360937  0.9271207 -0.9571404 -0.5976762],[-0.292425  0.015546  0.322456]
149,[-2.4522481  1.7208236  2.6947961  2.3360844  0.9270787 -0.9571499 -0.5976893],[-0.292919  0.019463  0.322384]
150,[-2.4554448  1.7207854  2.694757   2.3361001  0.927042  -0.9571528 -0.5977004],[-0.293118  0.020201  0.322403]
151,[-2.4679198  1.7207912  2.6947143  2.3360395  0.9271884 -0.9571559 -0.5976629],[-0.293516  0.023826  0.32232 ]
152,[-2.4708145  1.7208274  2.694803   2.3360639  0.9270654 -0.9571313 -0.5977131],[-0.293598  0.024483  0.322311]
153,[-2.4823778  1.7208217  2.6948113  2.3360724  0.9271383 -0.9571632 -0.5977561],[-0.293939  0.027758  0.322247]
154,[-2.4850807  1.7207683  2.6947937  2.335984   0.9271288 -0.9572131 -0.5977331],[-0.293986  0.02833   0.322234]
155,[-2.4877639  1.7207816  2.6948297  2.3360243  0.9271255 -0.957163  -0.5977408],[-0.294115  0.028968  0.322212]
156,[-2.4983306  1.7208541  2.6947315  2.3360252  0.9270973 -0.9571061 -0.5976605],[-0.294454  0.031764  0.322247]
157,[-2.5081668  1.7208636  2.694715   2.3361194  0.9270592 -0.9571546 -0.5976726],[-0.294805  0.034478  0.322319]
158,[-2.5106516  1.7207912  2.6947918  2.3360159  0.9271474 -0.9570765 -0.5976755],[-0.294798  0.034993  0.322295]
159,[-2.5128989  1.7208026  2.6947868  2.3360417  0.927145  -0.9571247 -0.5976707],[-0.294922  0.035532  0.32229 ]
160,[-2.5217006  1.7208331  2.6947639  2.3361011  0.9271083 -0.9571263 -0.5976884],[-0.295063  0.03804   0.322334]
161,[-2.5296495  1.7208217  2.6948297  2.3360779  0.927114  -0.957098  -0.5976535],[-0.295346  0.04029   0.322379]
162,[-2.5314398  1.720816   2.6948435  2.3360925  0.9271235 -0.9571181 -0.5976757],[-0.29534   0.040715  0.322361]
163,[-2.537519   1.7208865  2.6949739  2.3360195  0.9273558 -0.9571427 -0.597666 ],[-0.295444  0.042631  0.32233 ]
164,[-2.538883   1.7207835  2.6949933  2.3360996  0.9275022 -0.9571506 -0.5976562],[-0.295328  0.042974  0.322296]
165,[-2.5431268  1.720774   2.6950803  2.3360481  0.9274473 -0.9571255 -0.597655 ],[-0.295382  0.044279  0.322201]
166,[-2.5439045  1.7208083  2.6950219  2.3360298  0.9274368 -0.9571393 -0.5976842],[-0.295296  0.044492  0.322175]
167,[-2.546658   1.7208026  2.695004   2.3360825  0.9274392 -0.9570934 -0.5977111],[-0.295295  0.045321  0.32214 ]
168,[-2.5477138  1.7207988  2.6950243  2.3359358  0.927443  -0.9571139 -0.5977228],[-0.295338  0.045668  0.322175]
169,[-2.5479209  1.7208427  2.694931   2.336077   0.927424  -0.9571341 -0.5976327],[-0.295358  0.0457    0.322179]
170,[-2.5480871  1.7208427  2.6947744  2.3360968  0.927319  -0.9570697 -0.5977463],[-0.295357  0.045691  0.32221 ]
171,[-2.5480402  1.7208102  2.6949377  2.335968   0.9273715 -0.9570414 -0.5976736],[-0.295352  0.0457    0.322217]
172,[-2.548007   1.7207397  2.6949143  2.3360043  0.9273162 -0.9570498 -0.5976921],[-0.29534   0.045658  0.322211]
173,[-2.5478237  1.7208045  2.6949475  2.3360231  0.9272614 -0.9570102 -0.5976705],[-0.295335  0.045594  0.322189]
174,[-2.5478482  1.720774   2.6949294  2.3360076  0.9273548 -0.9570104 -0.597756 ],[-0.295377  0.045582  0.322199]
175,[-2.5470369  1.7207721  2.694977   2.3360457  0.9274716 -0.9569844 -0.5976688],[-0.295364  0.045452  0.322203]
176,[-2.5452116  1.7207759  2.6950552  2.3359997  0.9275441 -0.9570411 -0.5976905],[-0.295448  0.044923  0.322198]
177,[-2.5446594  1.7208179  2.6950457  2.3360229  0.9275217 -0.9570286 -0.597708 ],[-0.295381  0.044738  0.322189]
178,[-2.5416932  1.7208503  2.6951332  2.3360801  0.9275455 -0.9570398 -0.597661 ],[-0.295403  0.043424  0.322248]
179,[-2.5403085  1.7208198  2.6951373  2.3360653  0.9276266 -0.9569591 -0.5976556],[-0.295364  0.043115  0.32224 ]
180,[-2.5389948  1.7208484  2.6951592  2.3360145  0.9275799 -0.9570098 -0.597674 ],[-0.295355  0.042812  0.322226]
181,[-2.5341403  1.7208179  2.6951711  2.335994   0.9275007 -0.95699   -0.5976924],[-0.295388  0.041349  0.322269]
182,[-2.5325503  1.7208579  2.6949883  2.3360813  0.9274855 -0.9569389 -0.5976402],[-0.29532   0.040993  0.32227 ]
183,[-2.5251567  1.7208579  2.6950343  2.3359878  0.927577  -0.9568976 -0.5977208],[-0.295278  0.03905   0.322325]
184,[-2.5232377  1.7208179  2.6950226  2.3359842  0.9275484 -0.9569317 -0.5977435],[-0.295196  0.038605  0.322325]
185,[-2.5212288  1.7208293  2.694947   2.3360353  0.9275851 -0.9568803 -0.5977032],[-0.295149  0.038185  0.322313]
186,[-2.5148218  1.7207969  2.6950328  2.3359723  0.9275322 -0.9568427 -0.5976688],[-0.295034  0.036417  0.32234 ]
187,[-2.5126145  1.7208274  2.6949286  2.3360672  0.927505  -0.9568335 -0.5977091],[-0.294945  0.035931  0.322315]
188,[-2.5044851  1.720732   2.6949944  2.3360078  0.9275293 -0.9567981 -0.5976781],[-0.29475   0.033336  0.322236]
189,[-2.5024424  1.720835   2.6950734  2.3362062  0.9274645 -0.9568353 -0.5976525],[-0.294632  0.0328    0.32223 ]
190,[-2.4900594  1.7208465  2.6950972  2.3360491  0.9274063 -0.9568076 -0.5976661],[-0.294262  0.029453  0.322177]
191,[-2.4789066  1.7208064  2.6950567  2.3359427  0.9274778 -0.9566473 -0.5976925],[-0.293894  0.026435  0.322194]
192,[-2.4761224  1.720774   2.6950142  2.3360558  0.9274812 -0.9565519 -0.597638 ],[-0.293827  0.025842  0.32222 ]
193,[-2.460206   1.7208121  2.695051   2.3360016  0.9275732 -0.9566523 -0.597645 ],[-0.293396  0.021791  0.322301]
194,[-2.4567521  1.7207702  2.6950107  2.3360589  0.9275336 -0.9566506 -0.5977101],[-0.293328  0.021044  0.322308]
195,[-2.4459615  1.7207645  2.6950619  2.3361118  0.9276314 -0.9565976 -0.5976762],[-0.29285   0.017884  0.322336]
196,[-2.4424148  1.7208465  2.6951044  2.3360431  0.9276395 -0.9566612 -0.5976803],[-0.292726  0.017044  0.32234 ]
197,[-2.4384983  1.7208102  2.6951001  2.3360505  0.9276037 -0.9566949 -0.5976493],[-0.292604  0.016179  0.322371]
198,[-2.4226675  1.7208331  2.6950631  2.3359816  0.9274893 -0.9565316 -0.5976682],[-0.291909  0.011607  0.322401]
199,[-2.4017127  1.7208541  2.6950233  2.3360279  0.9274831 -0.9563984 -0.5976439],[-0.290987  0.005865  0.322478]
200,[-2.3974721  1.7208656  2.6949668  2.3360257  0.927546  -0.9564722 -0.5976658],[-0.290838  0.004912  0.322485]
201,[-2.3803864  1.7207244  2.6949394  2.3360074  0.9275608 -0.9563755 -0.5976605],[-2.899251e-01  9.283557e-05  3.225677e-01]
202,[-2.3759096  1.720774   2.6948841  2.3360338  0.9276237 -0.9563749 -0.5976561],[-0.289762 -0.000847  0.322578]
203,[-2.362787   1.7208236  2.6948907  2.335988   0.9274697 -0.9563636 -0.5976954],[-0.288901 -0.004794  0.32262 ]
204,[-2.3582752  1.720816   2.6949582  2.3359473  0.9275646 -0.9563541 -0.5976908],[-0.288739 -0.005734  0.322443]
205,[-2.3539631  1.7208541  2.6948986  2.3360646  0.9275966 -0.9563795 -0.5976751],[-0.288496 -0.006763  0.322612]
206,[-2.3399675  1.7208923  2.695024   2.3360925  0.9275665 -0.9562825 -0.597698 ],[-0.287484 -0.010806  0.322603]
207,[-2.3351853  1.7208675  2.6950276  2.3361115  0.927556  -0.9563257 -0.5977068],[-0.287259 -0.01185   0.322581]
208,[-2.3302855  1.7207854  2.6950512  2.3360846  0.9275584 -0.9563051 -0.5977239],[-0.286927 -0.012885  0.322579]
